"Planet","Grid","CurrentSector","WookieepediaTitle","WookieepediaSector","MatchType","SourceUrl"
"Dreena","O9","Hapes Cluster","Dreena system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Dreena_system"
"Dressel","Q13","Noolian","Dressel","Noolian sector","Exact title","https://starwars.fandom.com/wiki/Dressel"
"Drexel","Q18","Dail","Drexel","Lol sector","Exact title","https://starwars.fandom.com/wiki/Drexel"
"Droecil","M15","Boeus","Droecil","Boeus sector","Exact title","https://starwars.fandom.com/wiki/Droecil"
"Drog","R4","Corporate Sector","Drog system","Corporate Sector","System or continuity variant","https://starwars.fandom.com/wiki/Drog_system"
"Drogheda","Q11","Teraab","Drogheda","Teraab sector","Exact title","https://starwars.fandom.com/wiki/Drogheda"
"Dromund Kaas","R5","Sith Worlds","Dromund Kaas","Esstran sector","Exact title","https://starwars.fandom.com/wiki/Dromund_Kaas"
"Droxu","T11","Bheriz","Droxu","Bheriz sector","Exact title","https://starwars.fandom.com/wiki/Droxu"
"Drualkiin","T10","Kessel","Drualkiin system","Kessel sector","System or continuity variant","https://starwars.fandom.com/wiki/Drualkiin_system"
"Druckenwell","P15","Doldur","Druckenwell","Doldur sector","Exact title","https://starwars.fandom.com/wiki/Druckenwell"
"Dubrava","T13","Albanin","Dubrava/Legends","Albanin sector","Exact title","https://starwars.fandom.com/wiki/Dubrava%2FLegends"
"Dubrillion","K3","Myto","Dubrillion","Myto sector","Exact title","https://starwars.fandom.com/wiki/Dubrillion"
"Duinarbulon","S6","Cronese Mandate","Duinarbulon","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Duinarbulon"
"Dulathia","P8","Landtillian","Dulathia","Lantillian sector","Exact title","https://starwars.fandom.com/wiki/Dulathia"
"Durgen's Star","P6","Gordian Reach","Durgen's Star","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Durgen's_Star"
"Durkteel","Q10","Kastolar","Durkteel","Kastolar sector","Exact title","https://starwars.fandom.com/wiki/Durkteel"
"Duro","M11","Duro sector","Duro","Duro sector","Exact title","https://starwars.fandom.com/wiki/Duro"
"Duroon","S4","Corporate Sector","Duroon","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Duroon"
"Eadu","U10","Calaron","Eadu","Bheriz sector","Exact title","https://starwars.fandom.com/wiki/Eadu"
"Ebra","L6","Kesh","Ebra","Kesh sector","Exact title","https://starwars.fandom.com/wiki/Ebra"
"Echnos","L17","Hadar","Echnos","Hadar sector","Exact title","https://starwars.fandom.com/wiki/Echnos"
"Ediorung","O9","Hapes Cluster","Ediorung","Hapes Cluster","Exact title","https://starwars.fandom.com/wiki/Ediorung"
"Edusa","O5","Morshdine","Edusa","Morshdine sector","Exact title","https://starwars.fandom.com/wiki/Edusa"
"Eiattu","L17","Ado","Eiattu system","Ado sector","System or continuity variant","https://starwars.fandom.com/wiki/Eiattu_system"
"Eibon","S6","Cronese Mandate","Eibon","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Eibon"
"Ekibo","R3","Trianii","Ekibo","Trianii Space","Exact title","https://starwars.fandom.com/wiki/Ekibo"
"Elamposnia","Q5","Gordian Reach","Elamposnia","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Elamposnia"
"Elbara","J17","Elbaran","Elbara system","Elbaran sector","System or continuity variant","https://starwars.fandom.com/wiki/Elbara_system"
"Eliad","M20","Minos","Eliad","Minos Cluster","Exact title","https://starwars.fandom.com/wiki/Eliad"
"Elom","R5","Sertar","Elom system","Sertar sector","System or continuity variant","https://starwars.fandom.com/wiki/Elom_system"
"Elrood","M20","Elrood","Elrood","Elrood sector","Exact title","https://starwars.fandom.com/wiki/Elrood"
"Elshandruu Pica","O18","Quence","Elshandruu Pica","Quence sector (Sector Capital)","Exact title","https://starwars.fandom.com/wiki/Elshandruu_Pica"
"Emberlene","P12","Authala","Emberlene","Authala sector","Exact title","https://starwars.fandom.com/wiki/Emberlene"
"Emmer","S5","Nilgaard","Emmer","Nilgaard sector","Exact title","https://starwars.fandom.com/wiki/Emmer"
"Empress Teta","L10","Koros sector","Empress Teta","Koros sector","Exact title","https://starwars.fandom.com/wiki/Empress_Teta"
"Enarc","O17","Alui","Enarc","Alui sector","Exact title","https://starwars.fandom.com/wiki/Enarc"
"Endex","J5","Velcar","Endex","Velcar sector","Exact title","https://starwars.fandom.com/wiki/Endex"
"Endor","H16","Moddell","Endor","Zuma sector","Exact title","https://starwars.fandom.com/wiki/Endor"
"Endor Gate","H16","Moddell","Endor Gate","Zuma sector","Exact title","https://starwars.fandom.com/wiki/Endor_Gate"
"Endoraan","K4","Clacis","Endoraan","Clacis sector","Exact title","https://starwars.fandom.com/wiki/Endoraan"
"Endregaad","S5","Tion Hegemony","Endregaad","Indrexu sector","Exact title","https://starwars.fandom.com/wiki/Endregaad"
"Entralla","K4","Velcar","Entralla/Legends","Velcar sector","Exact title","https://starwars.fandom.com/wiki/Entralla%2FLegends"
"Entuur","L6","Kesh","Entuur","Urce Space","Exact title","https://starwars.fandom.com/wiki/Entuur"
"Eol Sha","P3","Corva","Eol Sha","Corva sector; Cauldron Nebula","Exact title","https://starwars.fandom.com/wiki/Eol_Sha"
"Epica","L15","Bes Ber Bikade","Epica","Bes Ber Bikade sector","Exact title","https://starwars.fandom.com/wiki/Epica"
"Equanus","K3","Veragi","Equanus","Veragi sector","Exact title","https://starwars.fandom.com/wiki/Equanus"
"Er'Kit","M6","Noonian","Er'Kit","Noonian sector","Exact title","https://starwars.fandom.com/wiki/Er'Kit"
"Erai","P11","Hangshan","Erai system","Hangshan sector","System or continuity variant","https://starwars.fandom.com/wiki/Erai_system"
"Eredenn","T6","Tion Hegemony","Eredenn system","Tion Hegemony","Search result","https://starwars.fandom.com/wiki/Eredenn_system"
"Ereesus","N4","Kanz","Ereesus","Kanz sector","Exact title","https://starwars.fandom.com/wiki/Ereesus"
"Eriadu","M18","Seswenna","Eriadu","Seswenna sector","Exact title","https://starwars.fandom.com/wiki/Eriadu"
"Eridicon","T6","Calamari","Eridicon system","Calamari sector","System or continuity variant","https://starwars.fandom.com/wiki/Eridicon_system"
"Erilnar","T8","Centrality","Erilnar","Centrality","Exact title","https://starwars.fandom.com/wiki/Erilnar"
"Ertegas","K18","Anoat","Ertegas","Javin sector","Exact title","https://starwars.fandom.com/wiki/Ertegas"
"Erysthes","S4","Corporate Sector","Erysthes","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Erysthes"
"Eshan","N8","Asrat Sector","Eshan system/Legends","Six Sisters","System or continuity variant","https://starwars.fandom.com/wiki/Eshan_system%2FLegends"
"Esseles","L9","Darpa sector","Esseles","Darpa sector","Exact title","https://starwars.fandom.com/wiki/Esseles"
"Ession","S4","Corporate Sector","Ession","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Ession"
"Etti","S4","Corporate Sector","Etti system","Corporate Sector","System or continuity variant","https://starwars.fandom.com/wiki/Etti_system"
"Euceron","Q7","Eucer","Euceron","Eucer sector","Exact title","https://starwars.fandom.com/wiki/Euceron"
"Excarga","T16","Svetta","Excarga/Legends","Herios sector","Exact title","https://starwars.fandom.com/wiki/Excarga%2FLegends"
"Fabrin","O12","Circarpous","Fabrin","Circarpous sector","Exact title","https://starwars.fandom.com/wiki/Fabrin"
"Faldos","K20","Saijo","Faldos","Saijo sector","Exact title","https://starwars.fandom.com/wiki/Faldos"
"Falko","U8","Centrality","Falko system","Centrality","System or continuity variant","https://starwars.fandom.com/wiki/Falko_system"
"Falleen","P15","Doldur","Falleen system","Doldur sector","System or continuity variant","https://starwars.fandom.com/wiki/Falleen_system"
"Far Indosa","P6","Gordian Reach","Far Indosa system","Gordian Reach","System or continuity variant","https://starwars.fandom.com/wiki/Far_Indosa_system"
"Farana","S3","Farana","Farana","Farana","Exact title","https://starwars.fandom.com/wiki/Farana"
"Farnica","O9","Hapes Cluster","Farnica system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Farnica_system"
"Farquar","Q11","Kurost","Farquar system","Kurost sector","System or continuity variant","https://starwars.fandom.com/wiki/Farquar_system"
"Farrfin","K9","Farrfin sector","Farrfin","Farrfin sector","Exact title","https://starwars.fandom.com/wiki/Farrfin"
"Farstine","P17","Ryndellian","Farstine","Ryndellian sector","Exact title","https://starwars.fandom.com/wiki/Farstine"
"Farstone","K18","Juvex","Farstone","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Farstone"
"Febrini","O9","Hapes Cluster","Febrini system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Febrini_system"
"Fedje","L5","Atrivis","Fedje","Atrivis sector","Exact title","https://starwars.fandom.com/wiki/Fedje"
"Feena","Q5","Gordian Reach","Feena","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Feena"
"Feenix","K17","D'Aelgoth","Feenix","D'Aelgoth sector","Exact title","https://starwars.fandom.com/wiki/Feenix"
"Feldwes","Q6","Gordian Reach","Feldwes","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Feldwes"
"Felucia","R6","Thanium","Felucia","Thanium sector","Exact title","https://starwars.fandom.com/wiki/Felucia"
"Fengrine","L18","Senex","Fengrine","Senex sector","Exact title","https://starwars.fandom.com/wiki/Fengrine"
"Ferro","Q4","I-Sector","Ferro","Illisurevimurasi sector","Exact title","https://starwars.fandom.com/wiki/Ferro"
"Fest","L5","Atrivis","Fest","Atrivis sector","Exact title","https://starwars.fandom.com/wiki/Fest"
"Feswe Corridor","P5","Gordian Reach","Feswe Corridor","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Feswe_Corridor"
"Feswe Minor","P5","Gordian Reach","Feswe Minor system","Gordian Reach","System or continuity variant","https://starwars.fandom.com/wiki/Feswe_Minor_system"
"Feswe Prime","P5","Gordian Reach","Feswe Prime","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Feswe_Prime"
"Fether","S3","Corporate Sector","Fether","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Fether"
"Fibuli","S3","Corporate Sector","Fibuli","Trianii Space","Exact title","https://starwars.fandom.com/wiki/Fibuli"
"Filordis","N8","Larrin","Filordis/Legends","Larrin sector","Exact title","https://starwars.fandom.com/wiki/Filordis%2FLegends"
"Firrerre","H16","Zuma","Firrerre","Zuma sector","Exact title","https://starwars.fandom.com/wiki/Firrerre"
"Florn","T5","Pakuuni","Florn","Pakuuni sector","Exact title","https://starwars.fandom.com/wiki/Florn"
"Florrum","R5","Sertar sector","Florrum","Sertar sector","Exact title","https://starwars.fandom.com/wiki/Florrum"
"Fodro","K4","Clacis","Fodro","Clacis sector","Exact title","https://starwars.fandom.com/wiki/Fodro"
"Fondor","L13","Tapani sector","Fondor","Tapani sector","Exact title","https://starwars.fandom.com/wiki/Fondor"
"Formos","T10","Kessel","Formos","Kessel sector","Exact title","https://starwars.fandom.com/wiki/Formos"
"Fornax","J7","Clythe","Fornax/Legends","Glythe sector","Exact title","https://starwars.fandom.com/wiki/Fornax%2FLegends"
"Forsen","K5","Cassander","Forsen","Cassander sector","Exact title","https://starwars.fandom.com/wiki/Forsen"
"Fresia","K10","Torranix sector","Fresia","Torranix sector","Exact title","https://starwars.fandom.com/wiki/Fresia"
"Fwatna","K20","Subterrel","Fwatna","Subterrel sector","Exact title","https://starwars.fandom.com/wiki/Fwatna"
"Fwillsving","T10","Calaron","Fwillsving","Calaron sector","Exact title","https://starwars.fandom.com/wiki/Fwillsving"
"G'wenee","N6","Weneen","G'wenee/Legends","Weneen sector","Exact title","https://starwars.fandom.com/wiki/G'wenee%2FLegends"
"Gabredor","K4","Myto","Gabredor system","Myto sector","System or continuity variant","https://starwars.fandom.com/wiki/Gabredor_system"
"Gacerian","N15","Baroli","Gacerian","Baroli sector","Exact title","https://starwars.fandom.com/wiki/Gacerian"
"Gala","Q7","Nuiri","Gala","Nuiri sector","Exact title","https://starwars.fandom.com/wiki/Gala"
"Galand","K10","Torranix Sector","Galand","Torranix sector","Exact title","https://starwars.fandom.com/wiki/Galand"
"Galantos","K10","Farlax sector","Galantos","Farlax sector","Exact title","https://starwars.fandom.com/wiki/Galantos"
"Galidraan","R6","Thanium","Galidraan","Thanium sector","Exact title","https://starwars.fandom.com/wiki/Galidraan"
"Gallinore","O9","Hapes Cluster","Gallinore","Hapes Cluster","Exact title","https://starwars.fandom.com/wiki/Gallinore"
"Gamor","O14","Chaykin","Gamor system","Chaykin sector","System or continuity variant","https://starwars.fandom.com/wiki/Gamor_system"
"Gamorr","T14","Galov","Gamorr","Galov sector","Exact title","https://starwars.fandom.com/wiki/Gamorr"
"Ganath","R12","Hutt Space","Ganath/Legends","Hutt Space","Exact title","https://starwars.fandom.com/wiki/Ganath%2FLegends"
"Gand","T8","Shadola","Gand system","Shadola sector","System or continuity variant","https://starwars.fandom.com/wiki/Gand_system"
"Gandolo","M5","Lahara","Gandolo system","Lahara sector","System or continuity variant","https://starwars.fandom.com/wiki/Gandolo_system"
"Gannaria","H15","Trilon","Gannaria","Trilon sector","Exact title","https://starwars.fandom.com/wiki/Gannaria"
"Ganthel","L9","Bormea sector","Ganthel","Bormea sector","Exact title","https://starwars.fandom.com/wiki/Ganthel"
"Garel","U7","Dominus","Garel","Lothal sector","Exact title","https://starwars.fandom.com/wiki/Garel"
"Gargon","O7","Meerian","Gargon","Mandalore sector","Exact title","https://starwars.fandom.com/wiki/Gargon"
"Garnib","L18","Bozhnee","Garnib","Bozhnee sector","Exact title","https://starwars.fandom.com/wiki/Garnib"
"Garos","P7","Msst","Garos","Msst sector","Exact title","https://starwars.fandom.com/wiki/Garos"
"Garqi","K5","Cassander","Garqi","Cassander sector (Tadrin)","Exact title","https://starwars.fandom.com/wiki/Garqi"
"Gaulus","S17","Gaulus","Gaulus","Gaulus sector","Exact title","https://starwars.fandom.com/wiki/Gaulus"
"Gaurick","S4","Corporate Sector","Gaurick","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Gaurick"
"Gavryn","Q8","Romintine","Gavryn","Romintine sector","Exact title","https://starwars.fandom.com/wiki/Gavryn"
"Gbu","T6","Pakuuni","Gbu","Keldrath sector","Exact title","https://starwars.fandom.com/wiki/Gbu"
"Gedi","R16","Arkanis","Gedi system","Arkanis sector","System or continuity variant","https://starwars.fandom.com/wiki/Gedi_system"
"Gelda","J4","Carrion","Gelda system","Carrion sector","System or continuity variant","https://starwars.fandom.com/wiki/Gelda_system"
"Genassa","M7","M'shinni","Genassa","M'shinni sector","Exact title","https://starwars.fandom.com/wiki/Genassa"
"Generis","L5","Atrivis","Generis","Atrivis sector","Exact title","https://starwars.fandom.com/wiki/Generis"
"Genian","P10","Trax","Genian","Trax sector","Exact title","https://starwars.fandom.com/wiki/Genian"
"Geonosis","R16","Arkanis","Geonosis","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/Geonosis"
"Geris","O7","Trans'Vulta","Geris system","Trans-Vulta sector","System or continuity variant","https://starwars.fandom.com/wiki/Geris_system"
"Gerrenthum","K18","Javin","Gerrenthum","Javin sector","Exact title","https://starwars.fandom.com/wiki/Gerrenthum"
"Gestrex","T9","Calaron","Gestrex system","Calaron sector","System or continuity variant","https://starwars.fandom.com/wiki/Gestrex_system"
"Gholondreine","K15","Chitarghar","Gholondreine-β","Chitarghar sector","Exact title","https://starwars.fandom.com/wiki/Gholondreine-%CE%B2"
"Ghorman","L13","Sern sector","Ghorman","Sern sector","Exact title","https://starwars.fandom.com/wiki/Ghorman"
"Gibbela","L5","Atrivis","Gibbela","Atrivis sector","Exact title","https://starwars.fandom.com/wiki/Gibbela"
"Gigor","R4","Tynquay","Gigor","Tynquay sector","Exact title","https://starwars.fandom.com/wiki/Gigor"
"Giju","L13","Herglic Space","Giju","Herglic Space","Exact title","https://starwars.fandom.com/wiki/Giju"
"Gilatter","I7","Churnis","Gilatter","Churnis sector","Exact title","https://starwars.fandom.com/wiki/Gilatter"
"Gizer","P8","Locris","Gizer","Lantillian sector","Exact title","https://starwars.fandom.com/wiki/Gizer"
"Glade","P5","Gordian Reach","Glade","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Glade"
"Glee Anselm","J7","Jalor","Glee Anselm","Jalor sector","Exact title","https://starwars.fandom.com/wiki/Glee_Anselm"
"Glom Tho","I8","Hevvrol sector","Glom Tho","Hevvrol sector","Search result","https://starwars.fandom.com/wiki/Glom_Tho"
"Glottal","U11","Baxel","Glottal","Baxel sector","Exact title","https://starwars.fandom.com/wiki/Glottal"
"Golden Nyss","L8","Fellwe","Golden Nyss system","Fellwe sector","System or continuity variant","https://starwars.fandom.com/wiki/Golden_Nyss_system"
"Gonmore","K6","Irishi","Gonmore","Irishi sector","Exact title","https://starwars.fandom.com/wiki/Gonmore"
"Goorla","M11","Corellian sector","Goorla","Corellian sector; Outlier systems","Exact title","https://starwars.fandom.com/wiki/Goorla"
"Gorno","R17","Arkanis","Gorno","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/Gorno"
"Goroth","R16","Trans-Nebular","Goroth system","Trans-Nebular sector","System or continuity variant","https://starwars.fandom.com/wiki/Goroth_system"
"Gos Hutta","S11","Hutt Space","Gos Hutta system/Legends","Bootana Hutta","System or continuity variant","https://starwars.fandom.com/wiki/Gos_Hutta_system%2FLegends"
"Grakouine","R15","Onatos","Grakouine","Onatos sector","Exact title","https://starwars.fandom.com/wiki/Grakouine"
"Gravlex Med","L4","Raioballo","Gravlex Med","Raioballo sector","Exact title","https://starwars.fandom.com/wiki/Gravlex_Med"
"Gree","L2","Gree","Gree","Veragi sector","Exact title","https://starwars.fandom.com/wiki/Gree"
"Gromas","Q7","Perkell","Gromas","Perkell sector","Exact title","https://starwars.fandom.com/wiki/Gromas"
"Groth","S11","Hutt Space","Groth","Bootana Hutta","Exact title","https://starwars.fandom.com/wiki/Groth"
"Guiteica","J4","Kadok Regions","Guiteica","Kadok Regions","Exact title","https://starwars.fandom.com/wiki/Guiteica"
"Gulvitch","Q6","Gordian Reach","Gulvitch","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gulvitch"
"Gwori","K4","Clacis","Gwori","Clacis sector","Exact title","https://starwars.fandom.com/wiki/Gwori"
"Gyndine","O12","Circarpous","Gyndine","Circarpous sector","Exact title","https://starwars.fandom.com/wiki/Gyndine"
"Habassa","Q16","Herdessa","Habassa system","Herdessa sector","System or continuity variant","https://starwars.fandom.com/wiki/Habassa_system"
"Halm","J16","Halm","Halm","Halm sector","Exact title","https://starwars.fandom.com/wiki/Halm"
"Halmad","N6","Quelii","Halmad","Quelii sector","Exact title","https://starwars.fandom.com/wiki/Halmad"
"Handooine","S7","Phelleem","Handooine","Phelleem sector","Exact title","https://starwars.fandom.com/wiki/Handooine"
"Hapes","O9","Hapes Cluster","Hapes","Hapes Cluster","Exact title","https://starwars.fandom.com/wiki/Hapes"
"Har Binande","J16","Har Worlds","Har Binande","Har Worlds","Exact title","https://starwars.fandom.com/wiki/Har_Binande"
"Harloen","O6","Belsmuth","Harloen","Belsmuth sector","Exact title","https://starwars.fandom.com/wiki/Harloen"
"Harrin","L15","Harrin","Harrin/Legends","Harrin sector","Exact title","https://starwars.fandom.com/wiki/Harrin%2FLegends"
"Harterra","O9","Hapes Cluster","Harterra system","Hapes Cluster","System or continuity variant","https://starwars.fandom.com/wiki/Harterra_system"
"Haruun Kal","M17","Dustig","Haruun Kal","Dustig sector","Exact title","https://starwars.fandom.com/wiki/Haruun_Kal"
"Haseria","P15","Haserian","Haseria system","Haserian sector","System or continuity variant","https://starwars.fandom.com/wiki/Haseria_system"
"Haverling","K5","Albarrio","Haverling","Albarrio sector","Exact title","https://starwars.fandom.com/wiki/Haverling"
"Heffrin","R17","Arkanis","Heffrin","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/Heffrin"
"Helska","L2","Dalonbian","Helska system","Dalonbian sector","System or continuity variant","https://starwars.fandom.com/wiki/Helska_system"
"Hensara","N11","Rachuk sector","Hensara system","Rachuk sector","System or continuity variant","https://starwars.fandom.com/wiki/Hensara_system"
"Herdessa","Q16","Herdessa","Herdessa","Herdessa sector","Exact title","https://starwars.fandom.com/wiki/Herdessa"
"Hestria","L18","Senex","Hestria","Senex-Juvex","Exact title","https://starwars.fandom.com/wiki/Hestria"
"Hethar","L5","Atrivis","Hethar","Atrivis sector","Exact title","https://starwars.fandom.com/wiki/Hethar"
"Hewett","M6","Hewett","Hewett system","Hewett sector","System or continuity variant","https://starwars.fandom.com/wiki/Hewett_system"
"High Chunah","K18","Javin","High Chunah","Greater Javin","Exact title","https://starwars.fandom.com/wiki/High_Chunah"
"Hiit","S3","Corporate Sector","Hiit","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Hiit"
"Hijado","O6","Thesme","Hijado","Thesme sector","Exact title","https://starwars.fandom.com/wiki/Hijado"
"Hijarna","M8","Orus","Hijarna","Orus sector","Exact title","https://starwars.fandom.com/wiki/Hijarna"
"Hijo","J8","Hijoan Space","Hijo","Hijoian Space","Exact title","https://starwars.fandom.com/wiki/Hijo"
"Hillindor","M13","Affa Sector","Hillindor system","Echo systems","System or continuity variant","https://starwars.fandom.com/wiki/Hillindor_system"
"Hilo","O13","Hilo","Hilo system","Hilo sector","System or continuity variant","https://starwars.fandom.com/wiki/Hilo_system"
"Hinakuu","U6","Calamari","Hinakuu","Calamari sector","Exact title","https://starwars.fandom.com/wiki/Hinakuu"
"Hirsi","J17","Elbaran","Hirsi","Elbaran sector","Exact title","https://starwars.fandom.com/wiki/Hirsi"
"Hishyim","S15","Abrion","Hishyim","Abrion sector","Exact title","https://starwars.fandom.com/wiki/Hishyim"
"Hjaff","J13","Tarc domain","Hjaff","Tarc domain","Exact title","https://starwars.fandom.com/wiki/Hjaff"
"Holess","R14","Manda","Holess","Manda sector","Exact title","https://starwars.fandom.com/wiki/Holess"
"Honoghr","T10","Kessel","Honoghr","Kessel sector","Exact title","https://starwars.fandom.com/wiki/Honoghr"
"Hosnian Prime","M12","Hosnian sector","Hosnian Prime","Hosnian sector","Exact title","https://starwars.fandom.com/wiki/Hosnian_Prime"
"Hosrel","U8","Centrality","Hosrel system","Centrality","System or continuity variant","https://starwars.fandom.com/wiki/Hosrel_system"
"Hoth","K18","Anoat","Hoth","Anoat sector","Exact title","https://starwars.fandom.com/wiki/Hoth"
"Houche","H16","Zuma","Houche","Zuma sector; Sugai sector","Exact title","https://starwars.fandom.com/wiki/Houche"
"Hovan","L18","Senex","Hovan system","Senex sector","System or continuity variant","https://starwars.fandom.com/wiki/Hovan_system"
"Hoylin","P13","Fel Hu","Hoylin","Fei Hu sector","Exact title","https://starwars.fandom.com/wiki/Hoylin"
"Huldamun","R17","Arkanis","Huldamun","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/Huldamun"
"Hull's Star","S3","Farana","Hull's Star system","Farana","System or continuity variant","https://starwars.fandom.com/wiki/Hull's_Star_system"
"Humbarine","M10","Humbarine sector","Humbarine","Humbarine sector","Exact title","https://starwars.fandom.com/wiki/Humbarine"
"Hutlar","L18","Senex-Juvex","Hutlar","Senex-Juvex","Search result","https://starwars.fandom.com/wiki/Hutlar"
"Hyabb","K9","Krenher sector","Hyabb","Krenher sector","Exact title","https://starwars.fandom.com/wiki/Hyabb"
"Hynah","O5","Kalamith","Hynah","Kalamith sector","Exact title","https://starwars.fandom.com/wiki/Hynah"
"Hypori","S16","Ferra","Hypori","Ferra sector","Exact title","https://starwars.fandom.com/wiki/Hypori"
"Iast","J17","Aldino","Iast system","Aldino sector","System or continuity variant","https://starwars.fandom.com/wiki/Iast_system"
"Ibanjji","N4","Mieru'kar","Ibanjji","Mieru'kar sector","Exact title","https://starwars.fandom.com/wiki/Ibanjji"
"Ichtor","K16","Sombure","Ichtor system","Sombure sector","System or continuity variant","https://starwars.fandom.com/wiki/Ichtor_system"
"Iego","T7","Ash Worlds","Iego","Ash Worlds","Exact title","https://starwars.fandom.com/wiki/Iego"
"Iktotchon","O14","Narvath","Iktotchon","Narvath sector","Exact title","https://starwars.fandom.com/wiki/Iktotchon"
"Iliabath","R4","Mortex","Iliabath","Mortex sector","Exact title","https://starwars.fandom.com/wiki/Iliabath"
"Illarreen","T16","Herios","Illarreen","Herios sector","Exact title","https://starwars.fandom.com/wiki/Illarreen"
"Illodia","K13","Illodia Sector","Illodia","Illodia sector","Exact title","https://starwars.fandom.com/wiki/Illodia"
"Illoud","O9","Hali","Illoud system","Hali sector","System or continuity variant","https://starwars.fandom.com/wiki/Illoud_system"
"Ilum","G7","7G sector","Ilum","7G sector","Exact title","https://starwars.fandom.com/wiki/Ilum"
"Immalia","K8","Immalia","Immalia","Immalia sector","Exact title","https://starwars.fandom.com/wiki/Immalia"
"Imynusoph","J21","Kallea","Imynusoph","Kallea sector","Exact title","https://starwars.fandom.com/wiki/Imynusoph"
"Indellian","K18","Yarith","Indellian","Greater Javin","Exact title","https://starwars.fandom.com/wiki/Indellian"
"Indobok","P15","Hevvrol","Indobok","Hevvrol sector","Exact title","https://starwars.fandom.com/wiki/Indobok"
"Indu San","Q7","Rolion","Indu San","Rolion sector","Exact title","https://starwars.fandom.com/wiki/Indu_San"
"Indupar","M17","Ado","Indupar/Legends","Ado sector; Induparan Crown Worlds","Exact title","https://starwars.fandom.com/wiki/Indupar%2FLegends"
"Ingo","R8","Bortele","Ingo","Bortele sector","Exact title","https://starwars.fandom.com/wiki/Ingo"
"Ione","K18","Anoat","Ione","Javin sector","Exact title","https://starwars.fandom.com/wiki/Ione"
"Iotra","S8","Iotra","Iotra","Iotran Expanse","Exact title","https://starwars.fandom.com/wiki/Iotra"
"Iridium","L5","Atrivis","Iridium","Atrivis sector","Exact title","https://starwars.fandom.com/wiki/Iridium"
"Iridonia","J7","Clythe","Iridonia","Glythe sector","Exact title","https://starwars.fandom.com/wiki/Iridonia"
"Isde Naha","K18","Yarith","Isde Naha","Yarith sector","Exact title","https://starwars.fandom.com/wiki/Isde_Naha"
"Iseno","N13","Iseno","Iseno/Legends","Iseno sector","Exact title","https://starwars.fandom.com/wiki/Iseno%2FLegends"
"Ishanna","O12","Circarpous","Ishanna system","Circarpous sector","System or continuity variant","https://starwars.fandom.com/wiki/Ishanna_system"
"Isiring","L5","Cassander","Isiring","Cassander sector","Exact title","https://starwars.fandom.com/wiki/Isiring"
"Isis","K18","Anoat","Isis/Legends","Anoat sector","Exact title","https://starwars.fandom.com/wiki/Isis%2FLegends"
"Iskalon","R16","Trans-Nebular","Iskalon","Trans-Nebular sector","Exact title","https://starwars.fandom.com/wiki/Iskalon"
"Ison","K18","Anoat","Ison","Javin sector","Exact title","https://starwars.fandom.com/wiki/Ison"
"Issagra","S4","Corporate Sector","Issagra","Corporate Sector","Exact title","https://starwars.fandom.com/wiki/Issagra"
"Issor","R17","Arkanis","Issor","Arkanis sector","Exact title","https://starwars.fandom.com/wiki/Issor"
"Ithor","M6","Ottega","Ithor","Ottega sector","Exact title","https://starwars.fandom.com/wiki/Ithor"
"Ithull","O10","Airon","Ithull","Airon sector","Exact title","https://starwars.fandom.com/wiki/Ithull"
"Ixtlar","L10","Ixtlar sector","Ixtlar/Legends","Ixtlar sector","Exact title","https://starwars.fandom.com/wiki/Ixtlar%2FLegends"
"J't'p'tan","K10","Farlax sector","J't'p'tan","Farlax sector","Exact title","https://starwars.fandom.com/wiki/J't'p'tan"
"Jabiim","S7","Phelleem","Jabiim","Phelleem sector","Exact title","https://starwars.fandom.com/wiki/Jabiim"
"Jaemus","K4","Obtrexta","Jaemus/Legends","Obtrexta sector","Exact title","https://starwars.fandom.com/wiki/Jaemus%2FLegends"
"Jagomir","Q5","Esstran","Jagomir","Esstran sector","Exact title","https://starwars.fandom.com/wiki/Jagomir"
"Jaguada","R5","Sith Worlds","Jaguada","Esstran sector","Exact title","https://starwars.fandom.com/wiki/Jaguada"
