"Planet","Grid","CurrentSector","WookieepediaStubTitle","MatchType","SourceUrl"
"Dagobah","M19","Sluis","Sluis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sluis_sector"
"Dakshee","M9","Barma sector","Barma sector","Exact title","https://starwars.fandom.com/wiki/Barma_sector"
"Dalchon","R17","Dalchon","Dalchon sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dalchon_sector"
"Dalisor","K17","Yushan","Yushan sector","Sector-normalized title","https://starwars.fandom.com/wiki/Yushan_sector"
"Dalron","J6","Ariarch","Ariarch sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ariarch_sector"
"Daluuj","U13","Albanin","Albanin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Albanin_sector"
"Damendine","U6","Calamari","Calamari sector","Sector-normalized title","https://starwars.fandom.com/wiki/Calamari_sector"
"Danteel","M12","Emmo sector","Emmo sector","Exact title","https://starwars.fandom.com/wiki/Emmo_sector"
"Dantooine","L4","Raioballo","Raioballo sector","Sector-normalized title","https://starwars.fandom.com/wiki/Raioballo_sector"
"Danuta","S9","Halla","Halla sector","Sector-normalized title","https://starwars.fandom.com/wiki/Halla_sector"
"Darkknell","M17","Grumani","Grumani sector","Sector-normalized title","https://starwars.fandom.com/wiki/Grumani_sector"
"Darlyn Boda","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Dasoor","K18","Agarix","Agarix sector","Sector-normalized title","https://starwars.fandom.com/wiki/Agarix_sector"
"Dathomir","O6","Quelii","Quelii sector","Sector-normalized title","https://starwars.fandom.com/wiki/Quelii_sector"
"Daupherm","K12","Daupherm States","Daupherm States","Exact title","https://starwars.fandom.com/wiki/Daupherm_States"
"Dela","T8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Delephr","J4","Carrion","Carrion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Carrion_sector"
"Dellalt","T6","Tion Hegemony","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Tion_Hegemony"
"Delphon","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Delrakkin","K21","Kallea","Kallea sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kallea_sector"
"Deminol","L17","Juvex","Juvex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Juvex_sector"
"Demophon","M10","Demophon sector","Demophon sector","Exact title","https://starwars.fandom.com/wiki/Demophon_sector"
"Demos","N16","Dustig","Dustig sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dustig_sector"
"Denab","M19","Sluis","Sluis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sluis_sector"
"Denarii Station","P6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Denebia","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Dennogra","S8","Tharin","Tharin sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Tharin_sector%2FLegends"
"Denova","N7","Ojoster","Ojoster sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ojoster_sector"
"Derellium","S6","Cronese Mandate","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Cronese_Mandate"
"Derra","N15","Mikaster","Mikaster sector","Sector-normalized title","https://starwars.fandom.com/wiki/Mikaster_sector"
"Desevro","S6","Tion Hegemony","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Tion_Hegemony"
"Devaron","M13","Duluur","Duluur sector","Sector-normalized title","https://starwars.fandom.com/wiki/Duluur_sector"
"Deysum","Q10","Trax","Trax sector","Sector-normalized title","https://starwars.fandom.com/wiki/Trax_sector"
"Dica","P11","Tolemses","Tolemses sector","Sector-normalized title","https://starwars.fandom.com/wiki/Tolemses_sector"
"Dilbana","U12","Baxel","Baxel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Baxel_sector"
"Dilonexa","U8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Din Pulsar","H16","Moddell","Moddell sector","Sector-normalized title","https://starwars.fandom.com/wiki/Moddell_sector"
"Dioll","L17","Juvex","Juvex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Juvex_sector"
"Djurmo","M7","Strabin","Strabin sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Strabin_sector%2FLegends"
"Dohlban","R13","Dohlbani","Dohlbani sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dohlbani_sector"
"Dohu","K7","Dohu","Dohu sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dohu_sector"
"Doldur","P15","Doldur","Doldur sector","Sector-normalized title","https://starwars.fandom.com/wiki/Doldur_sector"
"Dolis","J3","Obtrexta","Obtrexta sector","Sector-normalized title","https://starwars.fandom.com/wiki/Obtrexta_sector"
"Dolla","L18","Videnda","Videnda sector","Sector-normalized title","https://starwars.fandom.com/wiki/Videnda_sector"
"Donadus","J13","Bamula","Bamula sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bamula_sector"
"Doniphon","Q4","Kwymar","Kwymar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kwymar_sector"
"Donovia","O9","Hali","Hali sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hali_sector"
"Doreen","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Dorin","J8","Deadalis","Deadalis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Deadalis_sector"
"Dorlo","L19","Atravis","Atravis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Atravis_sector"
"Dornea","U7","Dominus","Dominus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dominus_sector"
"Dorvalla","M18","Videnda","Videnda sector","Sector-normalized title","https://starwars.fandom.com/wiki/Videnda_sector"
"Douglas","U8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Dra","R4","Wyl","Wyl sector","Sector-normalized title","https://starwars.fandom.com/wiki/Wyl_sector"
"Drackmar","O6","Quelii","Quelii sector","Sector-normalized title","https://starwars.fandom.com/wiki/Quelii_sector"
"Dramassia","L18","Juvex","Juvex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Juvex_sector"
"Draukyze","R6","Thanium","Thanium sector","Sector-normalized title","https://starwars.fandom.com/wiki/Thanium_sector"
"Dremulae","M10","Alderaan Sector","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan_sector"
"Dressel","Q13","Noolian","Noolian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Noolian_sector"
"Drexel","Q18","Dail","Dail sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dail_sector"
"Droecil","M15","Boeus","Boeus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Boeus_sector"
"Drogheda","Q11","Teraab","Teraab sector","Sector-normalized title","https://starwars.fandom.com/wiki/Teraab_sector"
"Dromund Kaas","R5","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Droxu","T11","Bheriz","Bheriz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bheriz_sector"
"Drualkiin","T10","Kessel","Kessel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kessel_sector"
"Druckenwell","P15","Doldur","Doldur sector","Sector-normalized title","https://starwars.fandom.com/wiki/Doldur_sector"
"Dubrava","T13","Albanin","Albanin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Albanin_sector"
"Dubrillion","K3","Myto","Myto sector","Sector-normalized title","https://starwars.fandom.com/wiki/Myto_sector"
"Duinarbulon","S6","Cronese Mandate","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Cronese_Mandate"
"Durgen's Star","P6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Duro","M11","Duro sector","Duro sector","Exact title","https://starwars.fandom.com/wiki/Duro_sector"
"Ebra","L6","Kesh","Kesh sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kesh_sector"
"Echnos","L17","Hadar","Hadar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hadar_sector"
"Eiattu","L17","Ado","Ado sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ado_sector"
"Eibon","S6","Cronese Mandate","Cronese Mandate","Exact title","https://starwars.fandom.com/wiki/Cronese_Mandate"
"Elamposnia","Q5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Elbara","J17","Elbaran","Elbaran sector","Sector-normalized title","https://starwars.fandom.com/wiki/Elbaran_sector"
"Elom","R5","Sertar","Sertar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sertar_sector"
"Elrood","M20","Elrood","Elrood sector","Sector-normalized title","https://starwars.fandom.com/wiki/Elrood_sector"
"Elshandruu Pica","O18","Quence","Quence sector","Sector-normalized title","https://starwars.fandom.com/wiki/Quence_sector"
"Emberlene","P12","Authala","Authala sector","Sector-normalized title","https://starwars.fandom.com/wiki/Authala_sector"
"Empress Teta","L10","Koros sector","Koros sector","Exact title","https://starwars.fandom.com/wiki/Koros_sector"
"Enarc","O17","Alui","Alui sector","Sector-normalized title","https://starwars.fandom.com/wiki/Alui_sector"
"Endor","H16","Moddell","Moddell sector","Sector-normalized title","https://starwars.fandom.com/wiki/Moddell_sector"
"Endor Gate","H16","Moddell","Moddell sector","Sector-normalized title","https://starwars.fandom.com/wiki/Moddell_sector"
"Endregaad","S5","Tion Hegemony","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Tion_Hegemony"
"Entuur","L6","Kesh","Kesh sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kesh_sector"
"Eol Sha","P3","Corva","Corva sector","Sector-normalized title","https://starwars.fandom.com/wiki/Corva_sector"
"Epica","L15","Bes Ber Bikade","Bes Ber Bikade sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bes_Ber_Bikade_sector"
"Equanus","K3","Veragi","Veragi sector","Sector-normalized title","https://starwars.fandom.com/wiki/Veragi_sector"
"Er'Kit","M6","Noonian","Noonian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Noonian_sector"
"Erai","P11","Hangshan","Hangshan sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hangshan_sector"
"Eredenn","T6","Tion Hegemony","Tion Hegemony","Exact title","https://starwars.fandom.com/wiki/Tion_Hegemony"
"Ereesus","N4","Kanz","Kanz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kanz_sector"
"Eriadu","M18","Seswenna","Seswenna sector","Sector-normalized title","https://starwars.fandom.com/wiki/Seswenna_sector"
"Eridicon","T6","Calamari","Calamari sector","Sector-normalized title","https://starwars.fandom.com/wiki/Calamari_sector"
"Erilnar","T8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Ertegas","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Esseles","L9","Darpa sector","Darpa sector","Exact title","https://starwars.fandom.com/wiki/Darpa_sector"
"Euceron","Q7","Eucer","Eucer sector","Sector-normalized title","https://starwars.fandom.com/wiki/Eucer_sector"
"Fabrin","O12","Circarpous","Circarpous sector","Sector-normalized title","https://starwars.fandom.com/wiki/Circarpous_sector"
"Faldos","K20","Saijo","Saijo sector","Sector-normalized title","https://starwars.fandom.com/wiki/Saijo_sector"
"Falko","U8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Falleen","P15","Doldur","Doldur sector","Sector-normalized title","https://starwars.fandom.com/wiki/Doldur_sector"
"Far Indosa","P6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Farquar","Q11","Kurost","Kurost sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kurost_sector"
"Farrfin","K9","Farrfin sector","Farrfin sector","Exact title","https://starwars.fandom.com/wiki/Farrfin_sector"
"Farstine","P17","Ryndellian","Ryndellian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ryndellian_sector"
"Farstone","K18","Juvex","Juvex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Juvex_sector"
"Fedalle","M10","Alderaan Sector","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan_sector"
"Feena","Q5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Feldwes","Q6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Felucia","R6","Thanium","Thanium sector","Sector-normalized title","https://starwars.fandom.com/wiki/Thanium_sector"
"Fengrine","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Feswe Corridor","P5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Feswe Minor","P5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Feswe Prime","P5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Filordis","N8","Larrin","Larrin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Larrin_sector"
"Firrerre","H16","Zuma","Zuma sector","Sector-normalized title","https://starwars.fandom.com/wiki/Zuma_sector"
"Florn","T5","Pakuuni","Pakuuni sector","Sector-normalized title","https://starwars.fandom.com/wiki/Pakuuni_sector"
"Florrum","R5","Sertar sector","Sertar sector","Exact title","https://starwars.fandom.com/wiki/Sertar_sector"
"Fondor","L13","Tapani sector","Tapani sector","Exact title","https://starwars.fandom.com/wiki/Tapani_sector"
"Formos","T10","Kessel","Kessel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kessel_sector"
"Forsen","K5","Cassander","Cassander subsector","Sector-normalized title","https://starwars.fandom.com/wiki/Cassander_subsector"
"Fwatna","K20","Subterrel","Subterrel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Subterrel_sector"
"G'wenee","N6","Weneen","Weneen sector","Sector-normalized title","https://starwars.fandom.com/wiki/Weneen_sector"
"Gabredor","K4","Myto","Myto sector","Sector-normalized title","https://starwars.fandom.com/wiki/Myto_sector"
"Gacerian","N15","Baroli","Baroli sector","Sector-normalized title","https://starwars.fandom.com/wiki/Baroli_sector"
"Gala","Q7","Nuiri","Nuiri sector","Sector-normalized title","https://starwars.fandom.com/wiki/Nuiri_sector"
"Galantos","K10","Farlax sector","Farlax sector","Exact title","https://starwars.fandom.com/wiki/Farlax_sector"
"Galidraan","R6","Thanium","Thanium sector","Sector-normalized title","https://starwars.fandom.com/wiki/Thanium_sector"
"Gamor","O14","Chaykin","Chaykin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Chaykin_sector"
"Gamorr","T14","Galov","Galov sector","Sector-normalized title","https://starwars.fandom.com/wiki/Galov_sector"
"Gand","T8","Shadola","Shadola sector","Sector-normalized title","https://starwars.fandom.com/wiki/Shadola_sector"
"Gandolo","M5","Lahara","Lahara sector","Sector-normalized title","https://starwars.fandom.com/wiki/Lahara_sector"
"Gannaria","H15","Trilon","Trilon sector","Sector-normalized title","https://starwars.fandom.com/wiki/Trilon_sector"
"Ganthel","L9","Bormea sector","Bormea sector","Exact title","https://starwars.fandom.com/wiki/Bormea_sector"
"Garel","U7","Dominus","Dominus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dominus_sector"
"Garnib","L18","Bozhnee","Bozhnee sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bozhnee_sector"
"Garos","P7","Msst","Msst sector","Sector-normalized title","https://starwars.fandom.com/wiki/Msst_sector"
"Garqi","K5","Cassander","Cassander subsector","Sector-normalized title","https://starwars.fandom.com/wiki/Cassander_subsector"
"Gaulus","S17","Gaulus","Gaulus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Gaulus_sector"
"Gavryn","Q8","Romintine","Romintine sector","Sector-normalized title","https://starwars.fandom.com/wiki/Romintine_sector"
"Gbu","T6","Pakuuni","Pakuuni sector","Sector-normalized title","https://starwars.fandom.com/wiki/Pakuuni_sector"
"Gedi","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Gelda","J4","Carrion","Carrion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Carrion_sector"
"Genassa","M7","M'shinni","M'shinni sector","Sector-normalized title","https://starwars.fandom.com/wiki/M'shinni_sector"
"Genian","P10","Trax","Trax sector","Sector-normalized title","https://starwars.fandom.com/wiki/Trax_sector"
"Geonosis","R16","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Gerrenthum","K18","Javin","Javin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Javin_sector"
"Gholondreine","K15","Chitarghar","Chitarghar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Chitarghar_sector"
"Ghorman","L13","Sern sector","Sern sector","Exact title","https://starwars.fandom.com/wiki/Sern_sector"
"Gigor","R4","Tynquay","Tynquay sector","Sector-normalized title","https://starwars.fandom.com/wiki/Tynquay_sector"
"Gizer","P8","Locris","Locris sector","Sector-normalized title","https://starwars.fandom.com/wiki/Locris_sector"
"Glade","P5","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Glee Anselm","J7","Jalor","Jalor sector","Sector-normalized title","https://starwars.fandom.com/wiki/Jalor_sector"
"Glithnos","M10","Alderaan Sector","Alderaan sector","Exact title","https://starwars.fandom.com/wiki/Alderaan_sector"
"Glom Tho","I8","Vardoss","Vardoss sector","Sector-normalized title","https://starwars.fandom.com/wiki/Vardoss_sector"
"Glottal","U11","Baxel","Baxel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Baxel_sector"
"Golden Nyss","L8","Fellwe","Fellwe sector","Sector-normalized title","https://starwars.fandom.com/wiki/Fellwe_sector"
"Goorla","M11","Corellian sector","Corellian sector","Exact title","https://starwars.fandom.com/wiki/Corellian_sector"
"Gorno","R17","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Goroth","R16","Trans-Nebular","Trans-Nebular sector","Sector-normalized title","https://starwars.fandom.com/wiki/Trans-Nebular_sector"
"Grakouine","R15","Onatos","Onatos sector","Sector-normalized title","https://starwars.fandom.com/wiki/Onatos_sector"
"Grandine","M9","Adari Sector","Adari sector/Legends","Exact title","https://starwars.fandom.com/wiki/Adari_sector%2FLegends"
"Gravlex Med","L4","Raioballo","Raioballo sector","Sector-normalized title","https://starwars.fandom.com/wiki/Raioballo_sector"
"Gromas","Q7","Perkell","Perkell sector","Sector-normalized title","https://starwars.fandom.com/wiki/Perkell_sector"
"Guiteica","J4","Kadok Regions","Kadok Regions","Exact title","https://starwars.fandom.com/wiki/Kadok_Regions"
"Gulvitch","Q6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
"Gyndine","O12","Circarpous","Circarpous sector","Sector-normalized title","https://starwars.fandom.com/wiki/Circarpous_sector"
"Habassa","Q16","Herdessa","Herdessa sector","Sector-normalized title","https://starwars.fandom.com/wiki/Herdessa_sector"
"Halm","J16","Halm","Halm sector","Sector-normalized title","https://starwars.fandom.com/wiki/Halm_sector"
"Halmad","N6","Quelii","Quelii sector","Sector-normalized title","https://starwars.fandom.com/wiki/Quelii_sector"
"Handooine","S7","Phelleem","Phelleem sector","Sector-normalized title","https://starwars.fandom.com/wiki/Phelleem_sector"
"Harloen","O6","Belsmuth","Belsmuth sector","Sector-normalized title","https://starwars.fandom.com/wiki/Belsmuth_sector"
"Harrin","L15","Harrin","Harrin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Harrin_sector"
"Haruun Kal","M17","Dustig","Dustig sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dustig_sector"
"Haseria","P15","Haserian","Haserian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Haserian_sector"
"Haverling","K5","Albarrio","Albarrio sector/Legends","Sector-normalized title","https://starwars.fandom.com/wiki/Albarrio_sector%2FLegends"
"Heffrin","R17","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Helska","L2","Dalonbian","Dalonbian sector","Sector-normalized title","https://starwars.fandom.com/wiki/Dalonbian_sector"
"Hensara","N11","Rachuk sector","Rachuk sector","Exact title","https://starwars.fandom.com/wiki/Rachuk_sector"
"Herdessa","Q16","Herdessa","Herdessa sector","Sector-normalized title","https://starwars.fandom.com/wiki/Herdessa_sector"
"Hestria","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Hewett","M6","Hewett","Hewett sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hewett_sector"
"High Chunah","K18","Javin","Javin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Javin_sector"
"Hijarna","M8","Orus","Orus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Orus_sector"
"Hilo","O13","Hilo","Hilo sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hilo_sector"
"Hinakuu","U6","Calamari","Calamari sector","Sector-normalized title","https://starwars.fandom.com/wiki/Calamari_sector"
"Hirsi","J17","Elbaran","Elbaran sector","Sector-normalized title","https://starwars.fandom.com/wiki/Elbaran_sector"
"Hishyim","S15","Abrion","Abrion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Abrion_sector"
"Hok","M9","Adari Sector","Adari sector/Legends","Exact title","https://starwars.fandom.com/wiki/Adari_sector%2FLegends"
"Honoghr","T10","Kessel","Kessel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kessel_sector"
"Hosnian Prime","M12","Hosnian sector","Hosnian sector","Exact title","https://starwars.fandom.com/wiki/Hosnian_sector"
"Hosrel","U8","Centrality","Centrality","Exact title","https://starwars.fandom.com/wiki/Centrality"
"Hoth","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Houche","H16","Zuma","Zuma sector","Sector-normalized title","https://starwars.fandom.com/wiki/Zuma_sector"
"Hovan","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Huldamun","R17","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Hutlar","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Hynah","O5","Kalamith","Kalamith sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kalamith_sector"
"Hypori","S16","Ferra","Ferra sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ferra_sector"
"Iast","J17","Aldino","Aldino sector","Sector-normalized title","https://starwars.fandom.com/wiki/Aldino_sector"
"Ibanjji","N4","Mieru'kar","Mieru'kar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Mieru'kar_sector"
"Ichtor","K16","Sombure","Sombure sector","Sector-normalized title","https://starwars.fandom.com/wiki/Sombure_sector"
"Ifmix","M9","Adari Sector","Adari sector/Legends","Exact title","https://starwars.fandom.com/wiki/Adari_sector%2FLegends"
"Iktotchon","O14","Narvath","Narvath sector","Sector-normalized title","https://starwars.fandom.com/wiki/Narvath_sector"
"Iliabath","R4","Mortex","Mortex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Mortex_sector"
"Illodia","K13","Illodia Sector","Illodia sector","Exact title","https://starwars.fandom.com/wiki/Illodia_sector"
"Illoud","O9","Hali","Hali sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hali_sector"
"Ilum","G7","7G sector","7G sector","Exact title","https://starwars.fandom.com/wiki/7G_sector"
"Immalia","K8","Immalia","Immalia sector","Sector-normalized title","https://starwars.fandom.com/wiki/Immalia_sector"
"Imynusoph","J21","Kallea","Kallea sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kallea_sector"
"Indobok","P15","Hevvrol","Hevvrol sector","Sector-normalized title","https://starwars.fandom.com/wiki/Hevvrol_sector"
"Indu San","Q7","Rolion","Rolion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Rolion_sector"
"Indupar","M17","Ado","Ado sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ado_sector"
"Ingo","R8","Bortele","Bortele sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bortele_sector"
"Ione","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Iope","L10","Baxel Sector","Baxel sector","Exact title","https://starwars.fandom.com/wiki/Baxel_sector"
"Ishanna","O12","Circarpous","Circarpous sector","Sector-normalized title","https://starwars.fandom.com/wiki/Circarpous_sector"
"Isiring","L5","Cassander","Cassander subsector","Sector-normalized title","https://starwars.fandom.com/wiki/Cassander_subsector"
"Isis","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Iskalon","R16","Trans-Nebular","Trans-Nebular sector","Sector-normalized title","https://starwars.fandom.com/wiki/Trans-Nebular_sector"
"Ison","K18","Anoat","Anoat sector","Sector-normalized title","https://starwars.fandom.com/wiki/Anoat_sector"
"Issor","R17","Arkanis","Arkanis sector","Sector-normalized title","https://starwars.fandom.com/wiki/Arkanis_sector"
"Ithor","M6","Ottega","Ottega sector","Sector-normalized title","https://starwars.fandom.com/wiki/Ottega_sector"
"Ithull","O10","Airon","Airon sector","Sector-normalized title","https://starwars.fandom.com/wiki/Airon_sector"
"Ixtlar","L10","Ixtlar sector","Ixtlar sector","Exact title","https://starwars.fandom.com/wiki/Ixtlar_sector"
"J't'p'tan","K10","Farlax sector","Farlax sector","Exact title","https://starwars.fandom.com/wiki/Farlax_sector"
"Jabiim","S7","Phelleem","Phelleem sector","Sector-normalized title","https://starwars.fandom.com/wiki/Phelleem_sector"
"Jaemus","K4","Obtrexta","Obtrexta sector","Sector-normalized title","https://starwars.fandom.com/wiki/Obtrexta_sector"
"Jagomir","Q5","Esstran","Esstran sector","Sector-normalized title","https://starwars.fandom.com/wiki/Esstran_sector"
"Jaguada","R5","Sith Worlds","Sith Worlds","Exact title","https://starwars.fandom.com/wiki/Sith_Worlds"
"Jakku","I13","Jakku's sector","Jakku's sector","Exact title","https://starwars.fandom.com/wiki/Jakku's_sector"
"Jalarren","L18","Senex","Senex sector","Sector-normalized title","https://starwars.fandom.com/wiki/Senex_sector"
"Jaminere","S6","Allied Tion","Allied Tion sector","Sector-normalized title","https://starwars.fandom.com/wiki/Allied_Tion_sector"
"JanFathal","K6","Fath","Fath sector","Sector-normalized title","https://starwars.fandom.com/wiki/Fath_sector"
"Jarnollen","L7","Bright Jewel","Bright Jewel sector","Sector-normalized title","https://starwars.fandom.com/wiki/Bright_Jewel_sector"
"Javin","K18","Javin","Javin sector","Sector-normalized title","https://starwars.fandom.com/wiki/Javin_sector"
"Jelucan","Q4","Kwymar","Kwymar sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kwymar_sector"
"Jerne","N4","Kanz","Kanz sector","Sector-normalized title","https://starwars.fandom.com/wiki/Kanz_sector"
"Jestan","M7","Corpheli","Corpheli sector","Sector-normalized title","https://starwars.fandom.com/wiki/Corpheli_sector"
"Jeyell","Q8","Roche","Roche sector","Sector-normalized title","https://starwars.fandom.com/wiki/Roche_sector"
"Jiroch","K17","Yushan","Yushan sector","Sector-normalized title","https://starwars.fandom.com/wiki/Yushan_sector"
"Joiol","M8","Orus","Orus sector","Sector-normalized title","https://starwars.fandom.com/wiki/Orus_sector"
"Jomark","R7","Jospro","Jospro sector","Sector-normalized title","https://starwars.fandom.com/wiki/Jospro_sector"
"Jovan","P6","Gordian Reach","Gordian Reach","Exact title","https://starwars.fandom.com/wiki/Gordian_Reach"
